
Begin Step 0, Time: 0, Systemstep: 0

Begin Step 1, Time: 0.00492188, Systemstep: 0.00492188

Begin Step 2, Time: 0.00984375, Systemstep: 0.00492188

Begin Step 3, Time: 0.0147656, Systemstep: 0.00492188

Begin Step 4, Time: 0.0196875, Systemstep: 0.00492187

Begin Step 5, Time: 0.0246094, Systemstep: 0.00492187

Begin Step 6, Time: 0.0295313, Systemstep: 0.00492188

Begin Step 7, Time: 0.0344531, Systemstep: 0.00492187

Begin Step 8, Time: 0.039375, Systemstep: 0.00492187

Begin Step 9, Time: 0.0442969, Systemstep: 0.00492187

Begin Step 10, Time: 0.0492187, Systemstep: 0.00492187

Begin Step 11, Time: 0.0590625, Systemstep: 0.00984375

Begin Step 12, Time: 0.0689063, Systemstep: 0.00984375

Begin Step 13, Time: 0.07875, Systemstep: 0.00984375

Begin Step 14, Time: 0.0885937, Systemstep: 0.00984375

Begin Step 15, Time: 0.0984375, Systemstep: 0.00984375

Begin Step 16, Time: 0.108281, Systemstep: 0.00984375

Begin Step 17, Time: 0.118125, Systemstep: 0.00984375

Begin Step 18, Time: 0.127969, Systemstep: 0.00984375

Begin Step 19, Time: 0.137813, Systemstep: 0.00984375

Begin Step 20, Time: 0.147656, Systemstep: 0.00984375

Begin Step 21, Time: 0.1575, Systemstep: 0.00984375

Begin Step 22, Time: 0.167344, Systemstep: 0.00984375

Begin Step 23, Time: 0.177187, Systemstep: 0.00984375

Begin Step 24, Time: 0.187031, Systemstep: 0.00984375

Begin Step 25, Time: 0.196875, Systemstep: 0.00984375

Begin Step 26, Time: 0.206719, Systemstep: 0.00984375

Begin Step 27, Time: 0.216562, Systemstep: 0.00984375

Begin Step 28, Time: 0.226406, Systemstep: 0.00984375

Begin Step 29, Time: 0.23625, Systemstep: 0.00984375

Begin Step 30, Time: 0.246094, Systemstep: 0.00984375

Begin Step 31, Time: 0.255937, Systemstep: 0.00984375

Begin Step 32, Time: 0.265781, Systemstep: 0.00984375

Begin Step 33, Time: 0.275625, Systemstep: 0.00984375

Begin Step 34, Time: 0.285469, Systemstep: 0.00984375

